Fondo,Fecha,Valor
111,1/30/19,107.2157666
111,1/31/19,107.2315175
111,2/1/19,107.2503084
111,2/2/19,107.2687696
111,2/3/19,107.2872298
111,2/4/19,107.3056877
111,2/5/19,107.3241298
111,2/6/19,107.3425725
111,2/7/19,107.361014
111,2/8/19,107.3794538
111,2/9/19,107.3978974
111,2/10/19,107.4163401
111,2/11/19,107.4347741
111,2/12/19,107.4532053
111,2/13/19,107.4716434
111,2/14/19,107.4900857
111,2/15/19,107.5098996
111,2/16/19,107.5297232
111,2/17/19,107.5495456
111,2/18/19,107.5693654
111,2/19/19,107.5892235
111,2/20/19,107.6090777
111,2/21/19,107.6289282
111,2/22/19,107.6487777
111,2/23/19,107.6686271
111,2/24/19,107.6884753
111,2/25/19,107.7083218
111,2/26/19,107.7281669
111,2/27/19,107.7480128
111,2/28/19,107.7662978
111,3/1/19,107.7827389
111,3/2/19,107.798863
111,3/3/19,107.8149863
111,3/4/19,107.8311679
111,3/5/19,107.8473366
111,3/6/19,107.8635054
111,3/7/19,107.8796728
111,3/8/19,107.8958392
111,3/9/19,107.9120053
111,3/10/19,107.9281706
111,3/11/19,107.9443344
111,3/12/19,107.9604975
111,3/13/19,107.9766613
111,3/14/19,107.9928243
111,3/15/19,108.0089871
111,3/16/19,108.0251494
111,3/17/19,108.0413107
111,3/18/19,108.0574702
111,3/19/19,108.0736281
111,3/20/19,108.0897626
111,3/21/19,108.105923
111,3/22/19,108.1220992
111,3/23/19,108.1382818
111,3/24/19,108.1544635
111,3/25/19,108.1699144
111,3/26/19,108.1860981
111,3/27/19,108.202281
111,3/28/19,108.218463
111,3/29/19,108.2343174
111,3/30/19,108.2505006
111,3/31/19,108.2661381
111,4/1/19,108.2827676
111,4/2/19,108.2992961
111,4/3/19,108.315816
111,4/4/19,108.3323262
111,4/5/19,108.3496348
111,4/6/19,108.3668721
111,4/7/19,108.3841084
111,4/8/19,107.0739797
111,4/9/19,107.0912277
111,4/10/19,107.108581
111,4/11/19,107.1259333
111,4/12/19,107.1432847
111,4/13/19,107.1606353
111,4/14/19,107.1779849
111,4/15/19,107.1953335
111,4/16/19,107.2126813
111,4/17/19,107.2300292
111,4/18/19,107.2473772
111,4/19/19,107.2647211
111,4/20/19,107.2820674
111,4/21/19,107.2994128
111,4/22/19,107.3167571
111,4/23/19,107.3341006
111,4/24/19,107.3514622
111,4/25/19,107.3688291
111,4/26/19,107.3861944
111,4/27/19,107.4035595
111,4/28/19,107.4209237
111,4/29/19,107.4382868
111,4/30/19,107.4753358
111,5/1/19,107.4928441
111,5/2/19,107.5101797
111,5/3/19,107.5275136
111,5/4/19,107.5448461
111,5/5/19,107.5621777
111,5/6/19,107.5794837
111,5/7/19,107.5967959
111,5/8/19,107.6141069
111,5/9/19,107.6314146
111,5/10/19,107.6487323
111,5/11/19,107.6660632
111,5/12/19,107.6833931
111,5/13/19,107.700722
111,5/14/19,107.7180538
111,5/15/19,107.7353964
111,5/16/19,107.7529264
111,5/17/19,107.7704553
111,5/18/19,107.7879835
111,5/19/19,107.8055108
111,5/20/19,107.8230368
111,5/21/19,107.8405619
111,5/22/19,107.8580862
111,5/23/19,107.8756095
111,5/24/19,107.8931318
111,5/25/19,107.9106534
111,5/26/19,107.928174
111,5/27/19,107.9456933
111,5/28/19,107.9632118
111,5/29/19,107.9792289
111,5/30/19,107.9966816
111,5/31/19,108.013704
111,6/1/19,108.0323883
